Size,Performance
24,125.341
72,139.306
219,137.646
661,128.927
2000,135.942
2500,55.1236
3300,54.9157
4350,70.1741
5750,71.9859
7600,56.2794
10000,55.7947
15000,56.4153
26000,51.2317
46000,47.7301
80000,23.2804
100000,21.1245
125000,19.0476
155000,20.8403
193000,19.38
240000,21.5962
300000,20.8316
500000,20.8659
780000,20.1446
1200000,16.4495
1900000,13.7286
3000000,13.1637
4000000,10.3734
4800000,12.8638
5800000,9.22117
7000000,9.05428
8500000,9.69711
10300000,11.0066
12400000,13.3628
15000000,8.88206
20000000,11.1941
27000000,7.91209
38000000,3.91746
52000000,5.92337
72000000,1.73471
100000000,1.7426
