Threads,Time (s),Performance (GFLOPS)
1,0.0102038,2.940087
2,0.00484515,6.19176
3,0.00325823,9.20745
4,0.00270508,11.09022
5,0.0021342,14.05677
6,0.00177907,16.86273
7,0.00148201,20.24274
8,0.00126588,23.69892
9,0.0011356,26.41767
10,0.00103587,28.9611
11,0.00108095,27.75336
12,0.000958804,31.2891
13,0.000981597,30.5625
14,0.000878704,34.1412
15,0.000745898,40.2201
16,0.000646688,46.3902
17,0.000431933,69.4551
18,0.000642561,46.6881
19,0.000531536,56.4402
20,0.000397539,75.4644
21,0.000362451,82.77
22,0.000329128,91.1499
23,0.000251771,119.1558
24,0.000245905,121.9983
25,0.000215244,139.3767
26,0.000204406,146.7666
27,0.000189289,158.4879
28,0.000182517,164.3685
29,0.000191351,156.78
30,0.000170131,176.3349
31,0.00015589,192.4434
32,0.000158567,189.1944
33,0.000151051,198.6081
34,0.000156296,191.9436
35,0.000153761,195.1074
36,0.000137088,218.8377
37,0.000139116,215.6475
38,0.00014089,212.9322
39,0.000132445,226.5087
40,0.000129912,230.9256
41,0.00012951,231.642
42,0.000134822,222.5157
43,0.000123703,242.5164
44,0.000122023,245.8557
45,0.000128685,233.1273
46,0.000135911,220.7331
47,0.000131756,227.6934
48,0.00012273,244.4388
49,0.000134935,222.3291
50,0.000132804,225.897
51,0.000114728,261.4887
52,0.000134858,222.4566
53,0.000128643,233.2032
54,0.0001267,236.7798
55,0.000123662,242.5968
56,0.000128592,233.2962
57,0.000124268,241.4142
58,0.000107481,279.1188
59,0.000120109,249.7731
60,0.000141475,212.0517
61,0.00011646,257.5992
62,0.000122536,244.8261
63,9.91127e-05,302.685
64,9.92878e-05,302.151
65,9.49828e-05,315.846
66,0.00010017,299.4915
67,9.4403e-05,317.787
68,9.18927e-05,326.469
69,9.1284e-05,328.644
70,9.32282e-05,321.792
71,8.9942e-05,333.549
72,9.19322e-05,326.328
