Threads,Time (s),Performance (GFLOPS)
1,8.14179,1.84
2,4.48301,3.35
3,3.25632,4.61
4,2.71768,5.52
5,2.47607,6.06
6,2.24371,6.69
7,2.13763,7.02
8,2.04565,7.33
9,1.92631,7.79
10,1.86542,8.04
11,1.82632,8.21
12,1.76048,8.52
13,1.73701,8.64
14,1.65067,9.09
15,1.63973,9.15
16,1.61321,9.30
17,1.58817,9.44
18,1.60329,9.36
19,1.51061,9.93
20,1.41757,10.58
21,1.37581,10.90
22,1.30096,11.53
23,1.24278,12.07
24,1.18607,12.65
25,1.14565,13.09
26,1.10026,13.63
27,1.04691,14.33
28,1.01728,14.75
29,0.979862,15.31
30,0.9512,15.77
31,0.909953,16.48
32,0.90172,16.63
33,0.857257,17.50
34,0.842369,17.81
35,0.817678,18.34
36,0.797896,18.80
37,0.773088,19.40
38,0.751558,19.96
39,0.727259,20.63
40,0.721863,20.78
41,0.700302,21.42
42,0.682699,21.97
43,0.659082,22.76
44,0.65373,22.95
45,0.625762,23.97
46,0.630989,23.77
47,0.602324,24.90
48,0.60701,24.71
49,0.580703,25.83
50,0.570779,26.28
51,0.559905,26.79
52,0.55308,27.12
53,0.5329,28.15
54,0.529141,28.35
55,0.520033,28.84
56,0.509372,29.45
57,0.503604,29.79
58,0.497703,30.14
59,0.487976,30.74
60,0.480877,31.19
61,0.467948,32.06
62,0.465411,32.23
63,0.458516,32.71
64,0.451316,33.24
65,0.434649,34.51
66,0.43585,34.42
67,0.42971,34.91
68,0.425055,35.29
69,0.414314,36.20
70,0.407885,36.78
71,0.402296,37.29
72,0.400987,37.41
