Size,Performance
5000,4.80895
10000,9.33614
20000,18.3176
30000,27.4683
40000,37.6301
50000,41.3263
60000,47.919
70000,55.2602
75000,56.5222
80000,61.7033
90000,63.852
100000,66.6337
125000,80.0466
150000,92.3133
225000,114.588
300000,127.216
450000,149.915
600000,173.764
800000,182.431
1000000,183.072
1250000,194.759
1500000,186.101
1650000,177.736
1750000,160.074
1800000,161.017
1850000,176.614
1900000,175.157
1950000,153.075
2000000,147.192
2050000,158.712
2100000,154.382
2150000,147.326
2200000,120.335
2250000,105.12
2300000,89.9776
2350000,89.0948
2400000,79.6228
2450000,78.6547
2500000,70.2345
2600000,72.7274
2750000,65.634
2900000,65.2448
3000000,64.739
3500000,62.8728
4000000,56.3905
4500000,31.7021
5000000,30.9524
6000000,26.5519
7500000,24.2891
8500000,23.48
10000000,22.6797
12500000,21.3304
15000000,20.3033
17500000,20.2107
20000000,19.9968
25000000,19.6273
30000000,19.2382
35000000,19.5351
40000000,19.5072
45000000,19.5278
50000000,19.216
60000000,18.9031
70000000,19.05
80000000,19.0686
90000000,19.0279
100000000,18.7973
