Size_GB,Bandwidth_MByte_s
0.009766,2305169.37
0.039062,4049346.89
0.078125,5425212.91
0.156250,6081099.96
0.312500,6392757.40
0.585938,6435266.95
0.976562,3360273.64
1.464840,3412863.20
1.953120,3401345.36
3.000000,3441479.32
6.000000,2745148.82
10.000000,3395432.93
16.000000,3115629.63
24.000000,1936893.07
32.000000,518357.43
40.000000,464741.99
45.000000,456749.36
50.000000,434594.42
55.000000,423790.93
60.000000,390069.53
65.000000,350333.82
70.000000,342906.50
80.000000,344234.32
90.000000,319646.60
95.000000,300606.68
100.000000,291847.49
105.000000,279866.03
110.000000,276804.86
120.000000,261762.89
140.000000,233359.77
160.000000,217081.16
180.000000,209183.37
200.000000,202100.61
350.000000,189679.33
500.000000,185822.06
650.000000,183627.32
800.000000,182456.11
950.000000,180596.67
1024.000000,181260.37
1280.000000,181363.99
1536.000000,181153.52
