Size_MB,Bandwidth_MByte_s
0.009766,1237021.72
0.024414,1665418.60
0.039062,2477329.90
0.078125,3031399.33
0.146484,3364599.60
0.292969,3629277.32
0.585938,3597665.16
0.976562,1878059.72
1.464840,1440223.60
1.953120,1904778.98
3.000000,1925376.69
5.000000,1924354.63
8.000000,1891590.77
12.000000,1441760.59
16.000000,1902561.66
18.000000,1895010.52
20.000000,1694801.59
22.000000,1245098.09
24.000000,1038237.82
26.000000,582981.12
30.000000,333792.21
35.000000,270729.82
40.000000,262180.06
45.000000,261730.88
50.000000,246923.11
55.000000,221765.65
60.000000,220414.60
65.000000,197197.44
70.000000,198829.27
80.000000,182511.33
90.000000,177167.88
100.000000,159894.27
120.000000,134381.35
150.000000,114920.49
200.000000,100881.49
300.000000,96064.64
500.000000,92807.22
800.000000,91322.44
1024.000000,90996.63
1536.000000,90899.49
