Threads,Time (s),Performance (GFLOPS)
1,0.00578257,3.45868
2,0.00296778,6.73906
3,0.00226023,8.84864
4,0.00172439,11.59834
5,0.00142418,14.04312
6,0.00124566,16.05576
7,0.00116223,17.20836
8,0.00101245,19.754
9,0.00188985,10.58282
10,0.00162467,12.3102
11,0.00104231,19.18812
12,0.000675282,29.6172
13,0.000593366,33.706
14,0.000399455,50.0682
15,0.000307182,65.108
16,0.000300323,66.595
17,0.00027654,72.3222
18,0.000266091,75.1622
19,0.000250087,79.9722
20,0.000239418,83.5358
21,0.00022814,87.6654
22,0.000219736,91.0182
23,0.000212658,94.0476
24,0.000208019,96.1452
25,0.000202418,98.8056
26,0.000195395,102.3566
27,0.000196853,101.5986
28,0.000184,108.6956
29,0.000181868,109.9698
30,0.000176066,113.5938
31,0.000172823,115.7256
32,0.000166117,120.397
33,0.000167807,119.1848
34,0.000162078,123.3974
35,0.000159041,125.7538
36,0.000156411,127.8682
37,0.000192305,104.0014
38,0.000154996,129.0358
39,0.000193392,103.417
40,0.000227753,87.8146
41,0.000195572,102.2642
42,0.000190377,105.0546
43,0.00018066,110.7054
44,0.000215633,92.7502
45,0.000182737,109.4468
46,0.000189161,105.73
47,0.000184537,108.3794
48,0.000185401,107.8742
49,0.000208753,95.807
50,0.000208177,96.072
51,0.000182815,109.4002
52,0.000189009,105.815
53,0.000137493,145.462
54,0.000164481,121.5944
55,0.000131385,152.2244
56,0.000157672,126.8456
57,0.000127733,156.5764
58,0.000129165,154.8406
59,0.000141323,141.5198
60,0.000161771,123.6318
61,0.000127365,157.0292
62,0.000122327,163.4964
63,0.000122976,162.6334
64,0.000125367,159.532
65,0.000134452,148.7516
66,0.000135915,147.151
67,0.000131656,151.911
68,0.000137972,144.9572
69,0.000124401,160.7704
70,0.000133702,149.5864
71,0.000134405,148.8042
72,0.000123875,161.4534
