Threads,Time (s),Performance (GFLOPS)
1,5.16459,1.936264
2,2.54291,3.9325
3,1.82473,5.48026
4,1.4933,6.69658
5,1.30368,7.67062
6,1.22063,8.19246
7,1.19623,8.35956
8,1.13038,8.84658
9,1.09974,9.09302
10,1.08288,9.2346
11,1.02258,9.7792
12,0.958068,10.43768
13,0.933637,10.7108
14,0.898977,11.12376
15,0.899977,11.1114
16,0.901182,11.09654
17,0.904263,11.05872
18,0.909164,10.99912
19,0.856328,11.67778
20,0.813519,12.29228
21,0.780335,12.81502
22,0.738485,13.54124
23,0.706667,14.15094
24,0.678389,14.7408
25,0.651463,15.35006
26,0.634969,15.74878
27,0.598944,16.69606
28,0.580892,17.21492
29,0.559433,17.87526
30,0.540583,18.49856
31,0.521439,19.17768
32,0.510069,19.6052
33,0.489186,20.4422
34,0.477826,20.9282
35,0.459478,21.7638
36,0.452906,22.0796
37,0.436699,22.899
38,0.425159,23.5206
39,0.414474,24.127
40,0.404495,24.7222
41,0.394732,25.3336
42,0.384241,26.0254
43,0.374393,26.7098
44,0.363466,27.5128
45,0.353308,28.304
46,0.34871,28.6772
47,0.34135,29.2954
48,0.352646,28.357
49,0.327546,30.53
50,0.318536,31.3936
51,0.315314,31.7144
52,0.308175,32.4492
53,0.301176,33.2032
54,0.295594,33.8302
55,0.292352,34.2054
56,0.284271,35.1776
57,0.280374,35.6666
58,0.274571,36.4204
59,0.269518,37.1034
60,0.264862,37.7554
61,0.259607,38.5198
62,0.257616,38.8174
63,0.252623,39.5846
64,0.245931,40.6618
65,0.244662,40.8726
66,0.238642,41.9038
67,0.234545,42.6358
68,0.231836,43.1338
69,0.230582,43.3686
70,0.23125,43.2432
71,0.221358,45.1756
72,0.220215,45.4102
