Gauss Seidel BENCHMARK
 no: of threads 72
Iter 0: Residual = 1164.54
Iter 1: Residual = 1072.19
Iter 2: Residual = 988.128
Iter 3: Residual = 911.265
Iter 4: Residual = 840.815
Iter 5: Residual = 776.133
Iter 6: Residual = 716.671
Iter 7: Residual = 661.956
Iter 8: Residual = 611.567
Iter 9: Residual = 565.134
Iter 10: Residual = 522.324
Iter 11: Residual = 482.837
Iter 12: Residual = 446.4
Iter 13: Residual = 412.768
Iter 14: Residual = 381.715
Iter 15: Residual = 353.037
Iter 16: Residual = 326.547
Iter 17: Residual = 302.072
Iter 18: Residual = 279.455
Iter 19: Residual = 258.552
Iter 20: Residual = 239.23
Iter 21: Residual = 221.368
Iter 22: Residual = 204.852
Iter 23: Residual = 189.58
Iter 24: Residual = 175.456
Iter 25: Residual = 162.394
Iter 26: Residual = 150.311
Iter 27: Residual = 139.135
Iter 28: Residual = 128.795
Iter 29: Residual = 119.229
Iter 30: Residual = 110.377
Iter 31: Residual = 102.187
Iter 32: Residual = 94.6086
Iter 33: Residual = 87.595
Iter 34: Residual = 81.1042
Iter 35: Residual = 75.0968
Iter 36: Residual = 69.5366
Iter 37: Residual = 64.39
Iter 38: Residual = 59.6261
Iter 39: Residual = 55.2162
Iter 40: Residual = 51.1338
Iter 41: Residual = 47.3545
Iter 42: Residual = 43.8556
Iter 43: Residual = 40.6163
Iter 44: Residual = 37.6171
Iter 45: Residual = 34.8401
Iter 46: Residual = 32.2689
Iter 47: Residual = 29.888
Iter 48: Residual = 27.6834
Iter 49: Residual = 25.642
Iter 50: Residual = 23.7515
Iter 51: Residual = 22.0008
Iter 52: Residual = 20.3795
Iter 53: Residual = 18.8781
Iter 54: Residual = 17.4875
Iter 55: Residual = 16.1997
Iter 56: Residual = 15.0069
Iter 57: Residual = 13.9022
Iter 58: Residual = 12.879
Iter 59: Residual = 11.9313
Iter 60: Residual = 11.0535
Iter 61: Residual = 10.2404
Iter 62: Residual = 9.4873
Iter 63: Residual = 8.78968
Iter 64: Residual = 8.14346
Iter 65: Residual = 7.54484
Iter 66: Residual = 6.99032
Iter 67: Residual = 6.47664
Iter 68: Residual = 6.00077
Iter 69: Residual = 5.55994
Iter 70: Residual = 5.15155
Iter 71: Residual = 4.77321
Iter 72: Residual = 4.42271
Iter 73: Residual = 4.09799
Iter 74: Residual = 3.79715
Iter 75: Residual = 3.51843
Iter 76: Residual = 3.2602
Iter 77: Residual = 3.02096
Iter 78: Residual = 2.7993
Iter 79: Residual = 2.59393
Iter 80: Residual = 2.40365
