rm -f benchmark
icpx -std=c++20 -O3 -xHost -qopenmp -o benchmark src/main.cpp src/timing.c src/mmio.cpp
Gauss Seidel BENCHMARK
 no: of threads 72
Iter 0: Residual = 1447.92
Iter 1: Residual = 1184.97
Iter 2: Residual = 1057.01
Iter 3: Residual = 963.994
Iter 4: Residual = 885.99
Iter 5: Residual = 816.973
Iter 6: Residual = 754.532
Iter 7: Residual = 697.459
Iter 8: Residual = 645.024
Iter 9: Residual = 596.717
Iter 10: Residual = 552.142
Iter 11: Residual = 510.971
Iter 12: Residual = 472.921
Iter 13: Residual = 437.742
Iter 14: Residual = 405.207
Iter 15: Residual = 375.112
Iter 16: Residual = 347.27
Iter 17: Residual = 321.508
Iter 18: Residual = 297.67
Iter 19: Residual = 275.609
Iter 20: Residual = 255.192
Iter 21: Residual = 236.295
Iter 22: Residual = 218.805
Iter 23: Residual = 202.614
Iter 24: Residual = 187.627
Iter 25: Residual = 173.753
Iter 26: Residual = 160.909
Iter 27: Residual = 149.019
Iter 28: Residual = 138.01
Iter 29: Residual = 127.817
Iter 30: Residual = 118.38
Iter 31: Residual = 109.642
Iter 32: Residual = 101.551
Iter 33: Residual = 94.0591
Iter 34: Residual = 87.1216
Iter 35: Residual = 80.6973
Iter 36: Residual = 74.7481
Iter 37: Residual = 69.2387
Iter 38: Residual = 64.1365
Iter 39: Residual = 59.4114
Iter 40: Residual = 55.0352
Iter 41: Residual = 50.9823
Iter 42: Residual = 47.2285
Iter 43: Residual = 43.7518
Iter 44: Residual = 40.5317
Iter 45: Residual = 37.5491
Iter 46: Residual = 34.7865
Iter 47: Residual = 32.2275
Iter 48: Residual = 29.8573
Iter 49: Residual = 27.6617
Iter 50: Residual = 25.6279
Iter 51: Residual = 23.744
Iter 52: Residual = 21.9988
Iter 53: Residual = 20.3821
Iter 54: Residual = 18.8845
Iter 55: Residual = 17.4971
Iter 56: Residual = 16.2118
Iter 57: Residual = 15.0212
Iter 58: Residual = 13.9181
Iter 59: Residual = 12.8961
Iter 60: Residual = 11.9493
Iter 61: Residual = 11.0722
Iter 62: Residual = 10.2595
Iter 63: Residual = 9.50659
Iter 64: Residual = 8.80901
Iter 65: Residual = 8.16269
Iter 66: Residual = 7.56387
Iter 67: Residual = 7.00903
Iter 68: Residual = 6.49496
Iter 69: Residual = 6.01864
Iter 70: Residual = 5.57731
Iter 71: Residual = 5.16837
Iter 72: Residual = 4.78947
Iter 73: Residual = 4.43837
Iter 74: Residual = 4.11305
Iter 75: Residual = 3.81161
Iter 76: Residual = 3.53228
Iter 77: Residual = 3.27345
Iter 78: Residual = 3.03361
Iter 79: Residual = 2.81136
Iter 80: Residual = 2.60541
Iter 81: Residual = 2.41457
Iter 82: Residual = 2.23772
Iter 83: Residual = 2.07384
Iter 84: Residual = 1.92197
Iter 85: Residual = 1.78124
Iter 86: Residual = 1.65082
Iter 87: Residual = 1.52996
Iter 88: Residual = 1.41796
Iter 89: Residual = 1.31417
Iter 90: Residual = 1.21798
Iter 91: Residual = 1.12884
Iter 92: Residual = 1.04623
Iter 93: Residual = 0.969666
Iter 94: Residual = 0.898713
Iter 95: Residual = 0.832958
Iter 96: Residual = 0.772018
Iter 97: Residual = 0.71554
Iter 98: Residual = 0.663198
Iter 99: Residual = 0.614687
Iter 100: Residual = 0.569728
Iter 101: Residual = 0.528061
Iter 102: Residual = 0.489443
Iter 103: Residual = 0.453652
Iter 104: Residual = 0.42048
Iter 105: Residual = 0.389735
Iter 106: Residual = 0.361241
Iter 107: Residual = 0.334831
Iter 108: Residual = 0.310353
Iter 109: Residual = 0.287667
Iter 110: Residual = 0.26664
Iter 111: Residual = 0.247151
Iter 112: Residual = 0.229087
Iter 113: Residual = 0.212345
Iter 114: Residual = 0.196827
Iter 115: Residual = 0.182444
Iter 116: Residual = 0.169113
Iter 117: Residual = 0.156756
Iter 118: Residual = 0.145303
Iter 119: Residual = 0.134687
Iter 120: Residual = 0.124848
Iter 121: Residual = 0.115727
Iter 122: Residual = 0.107274
Iter 123: Residual = 0.0994378
Iter 124: Residual = 0.0921748
Iter 125: Residual = 0.0854426
Iter 126: Residual = 0.0792024
Iter 127: Residual = 0.0734182
Iter 128: Residual = 0.0680567
Iter 129: Residual = 0.0630869
Iter 130: Residual = 0.0584803
Iter 131: Residual = 0.0542102
Iter 132: Residual = 0.0502521
Iter 133: Residual = 0.0465832
Iter 134: Residual = 0.0431822
Iter 135: Residual = 0.0400297
Iter 136: Residual = 0.0371075
Iter 137: Residual = 0.0343987
Iter 138: Residual = 0.0318878
Iter 139: Residual = 0.0295602
Iter 140: Residual = 0.0274026
Iter 141: Residual = 0.0254026
Iter 142: Residual = 0.0235486
Iter 143: Residual = 0.02183
Iter 144: Residual = 0.0202369
Iter 145: Residual = 0.0187601
Iter 146: Residual = 0.0173912
Iter 147: Residual = 0.0161221
Iter 148: Residual = 0.0149457
Iter 149: Residual = 0.0138552
Iter 150: Residual = 0.0128443
Iter 151: Residual = 0.0119072
Iter 152: Residual = 0.0110385
Iter 153: Residual = 0.0102332
Iter 154: Residual = 0.00948667
Iter 155: Residual = 0.00879463
Iter 156: Residual = 0.00815309
Iter 157: Residual = 0.00755837
Iter 158: Residual = 0.00700704
Iter 159: Residual = 0.00649595
Iter 160: Residual = 0.00602216
Iter 161: Residual = 0.00558293
Iter 162: Residual = 0.00517575
Iter 163: Residual = 0.00479828
Iter 164: Residual = 0.00444835
Iter 165: Residual = 0.00412395
Iter 166: Residual = 0.00382322
Iter 167: Residual = 0.00354443
Iter 168: Residual = 0.00328597
Iter 169: Residual = 0.00304636
Iter 170: Residual = 0.00282424
Iter 171: Residual = 0.00261831
Iter 172: Residual = 0.00242741
Iter 173: Residual = 0.00225043
Iter 174: Residual = 0.00208636
Iter 175: Residual = 0.00193425
Iter 176: Residual = 0.00179324
Iter 177: Residual = 0.00166251
Iter 178: Residual = 0.00154132
Iter 179: Residual = 0.00142896
Iter 180: Residual = 0.00132479
Iter 181: Residual = 0.00122823
Iter 182: Residual = 0.0011387
Iter 183: Residual = 0.0010557
Iter 184: Residual = 0.000978751
Iter 185: Residual = 0.000907414
Iter 186: Residual = 0.000841277
Iter 187: Residual = 0.000779963
Iter 188: Residual = 0.000723119
Iter 189: Residual = 0.000670419
Iter 190: Residual = 0.00062156
Iter 191: Residual = 0.000576264
Iter 192: Residual = 0.000534269
Iter 193: Residual = 0.000495336
Iter 194: Residual = 0.00045924
Iter 195: Residual = 0.000425776
Iter 196: Residual = 0.000394751
Iter 197: Residual = 0.000365987
Iter 198: Residual = 0.000339319
Iter 199: Residual = 0.000314596
Iter 200: Residual = 0.000291674
Iter 201: Residual = 0.000270423
Iter 202: Residual = 0.00025072
Iter 203: Residual = 0.000232453
Iter 204: Residual = 0.000215518
Iter 205: Residual = 0.000199817
Iter 206: Residual = 0.00018526
Iter 207: Residual = 0.000171763
Iter 208: Residual = 0.000159251
Iter 209: Residual = 0.000147649
Iter 210: Residual = 0.000136894
Iter 211: Residual = 0.000126922
Iter 212: Residual = 0.000117676
Iter 213: Residual = 0.000109104
Iter 214: Residual = 0.000101157
Iter 215: Residual = 9.37889e-05
Solver : Gauss Seidel Converged 
Time taken : 48.4905
Performance : 2.06226e-05GLUP/s 
---------------------------------------------------------------
