rm -f benchmark
icpx -std=c++20 -O3 -xHost -qopenmp -o benchmark src/main.cpp src/timing.c src/mmio.cpp
Gauss Seidel BENCHMARK
Benchmarking across 1 Node
 no: of threads 72
Iter 0: Residual = 102.073
Iter 1: Residual = 96.9182
Iter 2: Residual = 92.4697
Iter 3: Residual = 88.512
Iter 4: Residual = 84.9318
Iter 5: Residual = 81.6526
Iter 6: Residual = 78.6199
Iter 7: Residual = 75.7936
Iter 8: Residual = 73.1432
Iter 9: Residual = 70.6452
Iter 10: Residual = 68.2807
Iter 11: Residual = 66.0346
Iter 12: Residual = 63.8946
Iter 13: Residual = 61.8504
Iter 14: Residual = 59.8934
Iter 15: Residual = 58.0163
Iter 16: Residual = 56.2129
Iter 17: Residual = 54.4779
Iter 18: Residual = 52.8067
Iter 19: Residual = 51.1952
Iter 20: Residual = 49.6399
Iter 21: Residual = 48.1377
Iter 22: Residual = 46.6858
Iter 23: Residual = 45.2816
Iter 24: Residual = 43.9229
Iter 25: Residual = 42.6078
Iter 26: Residual = 41.3342
Iter 27: Residual = 40.1006
Iter 28: Residual = 38.9053
Iter 29: Residual = 37.7469
Iter 30: Residual = 36.6239
Iter 31: Residual = 35.5352
Iter 32: Residual = 34.4796
Iter 33: Residual = 33.4558
Iter 34: Residual = 32.4629
Iter 35: Residual = 31.4997
Iter 36: Residual = 30.5654
Iter 37: Residual = 29.6591
Iter 38: Residual = 28.7797
Iter 39: Residual = 27.9265
Iter 40: Residual = 27.0987
Iter 41: Residual = 26.2955
Iter 42: Residual = 25.5161
Iter 43: Residual = 24.7597
Iter 44: Residual = 24.0258
Iter 45: Residual = 23.3137
Iter 46: Residual = 22.6226
Iter 47: Residual = 21.9519
Iter 48: Residual = 21.3011
Iter 49: Residual = 20.6695
Iter 50: Residual = 20.0566
Iter 51: Residual = 19.4618
Iter 52: Residual = 18.8845
Iter 53: Residual = 18.3244
Iter 54: Residual = 17.7807
Iter 55: Residual = 17.2532
Iter 56: Residual = 16.7412
Iter 57: Residual = 16.2444
Iter 58: Residual = 15.7623
Iter 59: Residual = 15.2944
Iter 60: Residual = 14.8403
Iter 61: Residual = 14.3997
Iter 62: Residual = 13.9721
Iter 63: Residual = 13.5571
Iter 64: Residual = 13.1544
Iter 65: Residual = 12.7637
Iter 66: Residual = 12.3845
Iter 67: Residual = 12.0165
Iter 68: Residual = 11.6594
Iter 69: Residual = 11.3129
Iter 70: Residual = 10.9766
Iter 71: Residual = 10.6503
Iter 72: Residual = 10.3337
Iter 73: Residual = 10.0264
Iter 74: Residual = 9.72824
Iter 75: Residual = 9.43892
Iter 76: Residual = 9.15818
Iter 77: Residual = 8.88575
Iter 78: Residual = 8.62141
Iter 79: Residual = 8.3649
