icpx -std=c++20 -O3 -xHost -qopenmp -o benchmark src/main.cpp src/timing.c src/mmio.cpp
SPMV BENCHMARK
Benchmarking across 1 Node
 no: of threads 71
Iter 0: Residual = 104.678
Iter 10: Residual = 82.6842
Iter 20: Residual = 68.9148
Iter 30: Residual = 58.4412
Iter 40: Residual = 49.9216
Iter 50: Residual = 42.7806
Iter 60: Residual = 36.7129
Iter 70: Residual = 31.5254
Iter 80: Residual = 27.0784
Iter 90: Residual = 23.2614
Iter 100: Residual = 19.9836
Iter 110: Residual = 17.168
Iter 120: Residual = 14.7493
Iter 130: Residual = 12.6715
Iter 140: Residual = 10.8863
Iter 150: Residual = 9.35268
Iter 160: Residual = 8.0351
Iter 170: Residual = 6.90314
Iter 180: Residual = 5.93065
Iter 190: Residual = 5.09515
Iter 200: Residual = 4.37736
Iter 210: Residual = 3.76069
Iter 220: Residual = 3.2309
Iter 230: Residual = 2.77574
Iter 240: Residual = 2.3847
Iter 250: Residual = 2.04875
Iter 260: Residual = 1.76013
Iter 270: Residual = 1.51217
Iter 280: Residual = 1.29914
Iter 290: Residual = 1.11612
Iter 300: Residual = 0.958884
Iter 310: Residual = 0.823799
Iter 320: Residual = 0.707745
Iter 330: Residual = 0.60804
Iter 340: Residual = 0.522381
Iter 350: Residual = 0.448789
Iter 360: Residual = 0.385565
Iter 370: Residual = 0.331248
Iter 380: Residual = 0.284583
Iter 390: Residual = 0.244492
Iter 400: Residual = 0.210048
Iter 410: Residual = 0.180457
Iter 420: Residual = 0.155035
Iter 430: Residual = 0.133194
Iter 440: Residual = 0.11443
Iter 450: Residual = 0.0983096
Iter 460: Residual = 0.08446
Iter 470: Residual = 0.0725616
Iter 480: Residual = 0.0623393
Iter 490: Residual = 0.0535571
Iter 500: Residual = 0.0460122
Iter 510: Residual = 0.0395301
Iter 520: Residual = 0.0339612
Iter 530: Residual = 0.0291769
Iter 540: Residual = 0.0250665
Time taken : 0.0304893
Performance : 0.0327984GLUP/s 
 no: of threads 72
Iter 0: Residual = 104.678
Iter 10: Residual = 82.6842
Iter 20: Residual = 68.9148
Iter 30: Residual = 58.4412
Iter 40: Residual = 49.9216
Iter 50: Residual = 42.7806
Iter 60: Residual = 36.7129
Iter 70: Residual = 31.5254
Iter 80: Residual = 27.0784
Iter 90: Residual = 23.2614
Iter 100: Residual = 19.9836
Iter 110: Residual = 17.168
Iter 120: Residual = 14.7493
Iter 130: Residual = 12.6715
Iter 140: Residual = 10.8863
Iter 150: Residual = 9.35268
Iter 160: Residual = 8.0351
Iter 170: Residual = 6.90314
Iter 180: Residual = 5.93065
Iter 190: Residual = 5.09515
Iter 200: Residual = 4.37736
Iter 210: Residual = 3.76069
Iter 220: Residual = 3.2309
Iter 230: Residual = 2.77574
Iter 240: Residual = 2.3847
Iter 250: Residual = 2.04875
Iter 260: Residual = 1.76013
Iter 270: Residual = 1.51217
Iter 280: Residual = 1.29914
Iter 290: Residual = 1.11612
Iter 300: Residual = 0.958884
Iter 310: Residual = 0.823799
Iter 320: Residual = 0.707745
Iter 330: Residual = 0.60804
Iter 340: Residual = 0.522381
Iter 350: Residual = 0.448789
Iter 360: Residual = 0.385565
Iter 370: Residual = 0.331248
Iter 380: Residual = 0.284583
Iter 390: Residual = 0.244492
Iter 400: Residual = 0.210048
Iter 410: Residual = 0.180457
Iter 420: Residual = 0.155035
Iter 430: Residual = 0.133194
Iter 440: Residual = 0.11443
Iter 450: Residual = 0.0983096
Iter 460: Residual = 0.08446
Iter 470: Residual = 0.0725616
Iter 480: Residual = 0.0623393
Iter 490: Residual = 0.0535571
Iter 500: Residual = 0.0460122
Iter 510: Residual = 0.0395301
Iter 520: Residual = 0.0339612
Iter 530: Residual = 0.0291769
Iter 540: Residual = 0.0250665
Time taken : 0.0295084
Performance : 0.0338887GLUP/s 
---------------------------------------------------------------
