11 warnings generated.
Jacobi BENCHMARK
 no: of threads 72
Iter 0: Residual = 1618.54
Iter 1: Residual = 1354.53
Iter 2: Residual = 1232.52
Iter 3: Residual = 1153.18
Iter 4: Residual = 1091.95
Iter 5: Residual = 1040.15
Iter 6: Residual = 994.052
Iter 7: Residual = 951.834
Iter 8: Residual = 912.503
Iter 9: Residual = 875.482
Iter 10: Residual = 840.406
Iter 11: Residual = 807.031
Iter 12: Residual = 775.187
Iter 13: Residual = 744.743
Iter 14: Residual = 715.598
Iter 15: Residual = 687.671
Iter 16: Residual = 660.891
Iter 17: Residual = 635.198
Iter 18: Residual = 610.538
Iter 19: Residual = 586.862
Iter 20: Residual = 564.126
Iter 21: Residual = 542.289
Iter 22: Residual = 521.312
Iter 23: Residual = 501.159
Iter 24: Residual = 481.796
Iter 25: Residual = 463.19
Iter 26: Residual = 445.31
Iter 27: Residual = 428.127
Iter 28: Residual = 411.614
Iter 29: Residual = 395.743
Iter 30: Residual = 380.489
Iter 31: Residual = 365.827
Iter 32: Residual = 351.734
Iter 33: Residual = 338.189
Iter 34: Residual = 325.168
Iter 35: Residual = 312.652
Iter 36: Residual = 300.62
Iter 37: Residual = 289.054
Iter 38: Residual = 277.936
Iter 39: Residual = 267.248
Iter 40: Residual = 256.973
Iter 41: Residual = 247.095
Iter 42: Residual = 237.599
Iter 43: Residual = 228.469
Iter 44: Residual = 219.692
Iter 45: Residual = 211.254
Iter 46: Residual = 203.142
Iter 47: Residual = 195.342
Iter 48: Residual = 187.844
Iter 49: Residual = 180.634
Iter 50: Residual = 173.702
Iter 51: Residual = 167.038
Iter 52: Residual = 160.63
Iter 53: Residual = 154.469
Iter 54: Residual = 148.545
Iter 55: Residual = 142.85
Iter 56: Residual = 137.373
Iter 57: Residual = 132.108
Iter 58: Residual = 127.045
Iter 59: Residual = 122.177
Iter 60: Residual = 117.496
Iter 61: Residual = 112.994
Iter 62: Residual = 108.667
Iter 63: Residual = 104.505
Iter 64: Residual = 100.503
Iter 65: Residual = 96.6553
Iter 66: Residual = 92.9552
Iter 67: Residual = 89.3972
Iter 68: Residual = 85.9758
Iter 69: Residual = 82.6859
Iter 70: Residual = 79.5222
Iter 71: Residual = 76.4799
Iter 72: Residual = 73.5544
Iter 73: Residual = 70.7411
Iter 74: Residual = 68.0358
Iter 75: Residual = 65.4342
Iter 76: Residual = 62.9324
Iter 77: Residual = 60.5265
Iter 78: Residual = 58.2129
Iter 79: Residual = 55.9879
Iter 80: Residual = 53.8483
Iter 81: Residual = 51.7906
Iter 82: Residual = 49.8118
Iter 83: Residual = 47.9088
Iter 84: Residual = 46.0787
Iter 85: Residual = 44.3186
Iter 86: Residual = 42.626
Iter 87: Residual = 40.9982
Iter 88: Residual = 39.4327
Iter 89: Residual = 37.9271
Iter 90: Residual = 36.4792
Iter 91: Residual = 35.0867
Iter 92: Residual = 33.7474
Iter 93: Residual = 32.4594
Iter 94: Residual = 31.2207
Iter 95: Residual = 30.0294
Iter 96: Residual = 28.8836
Iter 97: Residual = 27.7816
Iter 98: Residual = 26.7218
Iter 99: Residual = 25.7025
Iter 100: Residual = 24.7222
Iter 101: Residual = 23.7793
Iter 102: Residual = 22.8725
Iter 103: Residual = 22.0003
Iter 104: Residual = 21.1614
Iter 105: Residual = 20.3547
Iter 106: Residual = 19.5787
Iter 107: Residual = 18.8324
Iter 108: Residual = 18.1145
Iter 109: Residual = 17.4241
Iter 110: Residual = 16.7601
Iter 111: Residual = 16.1214
Iter 112: Residual = 15.5071
Iter 113: Residual = 14.9163
Iter 114: Residual = 14.348
Iter 115: Residual = 13.8014
Iter 116: Residual = 13.2757
Iter 117: Residual = 12.77
Iter 118: Residual = 12.2836
Iter 119: Residual = 11.8158
Iter 120: Residual = 11.3658
Iter 121: Residual = 10.933
Iter 122: Residual = 10.5167
Iter 123: Residual = 10.1163
Iter 124: Residual = 9.73116
Iter 125: Residual = 9.36071
Iter 126: Residual = 9.00438
Iter 127: Residual = 8.66164
Iter 128: Residual = 8.33196
Iter 129: Residual = 8.01486
Iter 130: Residual = 7.70984
Iter 131: Residual = 7.41645
Iter 132: Residual = 7.13424
Iter 133: Residual = 6.86279
Iter 134: Residual = 6.60168
Iter 135: Residual = 6.35053
Iter 136: Residual = 6.10894
Iter 137: Residual = 5.87655
Iter 138: Residual = 5.65302
Iter 139: Residual = 5.43801
Iter 140: Residual = 5.23118
Iter 141: Residual = 5.03224
Iter 142: Residual = 4.84087
Iter 143: Residual = 4.65679
Iter 144: Residual = 4.47971
Iter 145: Residual = 4.30939
Iter 146: Residual = 4.14554
Iter 147: Residual = 3.98794
Iter 148: Residual = 3.83633
Iter 149: Residual = 3.6905
Iter 150: Residual = 3.55021
Iter 151: Residual = 3.41527
Iter 152: Residual = 3.28546
Iter 153: Residual = 3.1606
Iter 154: Residual = 3.04048
Iter 155: Residual = 2.92494
Iter 156: Residual = 2.81379
Iter 157: Residual = 2.70687
Iter 158: Residual = 2.60402
Iter 159: Residual = 2.50508
Iter 160: Residual = 2.40991
Iter 161: Residual = 2.31836
Iter 162: Residual = 2.23028
Iter 163: Residual = 2.14556
Iter 164: Residual = 2.06406
Iter 165: Residual = 1.98566
Iter 166: Residual = 1.91025
Iter 167: Residual = 1.8377
Iter 168: Residual = 1.7679
Iter 169: Residual = 1.70077
Iter 170: Residual = 1.63618
Iter 171: Residual = 1.57405
Iter 172: Residual = 1.51428
Iter 173: Residual = 1.45679
Iter 174: Residual = 1.40147
Iter 175: Residual = 1.34827
Iter 176: Residual = 1.29708
Iter 177: Residual = 1.24784
Iter 178: Residual = 1.20047
Iter 179: Residual = 1.1549
Iter 180: Residual = 1.11106
Iter 181: Residual = 1.06889
Iter 182: Residual = 1.02832
Iter 183: Residual = 0.989296
Iter 184: Residual = 0.95175
Iter 185: Residual = 0.915632
Iter 186: Residual = 0.880885
Iter 187: Residual = 0.847458
Iter 188: Residual = 0.815301
Iter 189: Residual = 0.784365
Iter 190: Residual = 0.754605
Iter 191: Residual = 0.725975
Iter 192: Residual = 0.698432
Iter 193: Residual = 0.671935
Iter 194: Residual = 0.646444
Iter 195: Residual = 0.621921
Iter 196: Residual = 0.598329
Iter 197: Residual = 0.575633
Iter 198: Residual = 0.553799
Iter 199: Residual = 0.532794
Iter 200: Residual = 0.512586
Iter 201: Residual = 0.493146
Iter 202: Residual = 0.474443
Iter 203: Residual = 0.45645
Iter 204: Residual = 0.439141
Iter 205: Residual = 0.422488
Iter 206: Residual = 0.406467
Iter 207: Residual = 0.391055
Iter 208: Residual = 0.376227
Iter 209: Residual = 0.361962
Iter 210: Residual = 0.348238
Iter 211: Residual = 0.335036
Iter 212: Residual = 0.322334
Iter 213: Residual = 0.310114
Iter 214: Residual = 0.298358
Iter 215: Residual = 0.287047
Iter 216: Residual = 0.276166
Iter 217: Residual = 0.265698
Iter 218: Residual = 0.255627
Iter 219: Residual = 0.245938
Iter 220: Residual = 0.236616
Iter 221: Residual = 0.227648
Iter 222: Residual = 0.219021
Iter 223: Residual = 0.21072
Iter 224: Residual = 0.202734
Iter 225: Residual = 0.195052
Iter 226: Residual = 0.18766
Iter 227: Residual = 0.180549
Iter 228: Residual = 0.173708
Iter 229: Residual = 0.167126
Iter 230: Residual = 0.160793
Iter 231: Residual = 0.154701
Iter 232: Residual = 0.14884
Iter 233: Residual = 0.1432
Iter 234: Residual = 0.137775
Iter 235: Residual = 0.132556
Iter 236: Residual = 0.127534
Iter 237: Residual = 0.122703
Iter 238: Residual = 0.118055
Iter 239: Residual = 0.113583
Iter 240: Residual = 0.10928
Iter 241: Residual = 0.105141
Iter 242: Residual = 0.101158
