rm -f benchmark
icpx -std=c++20 -O3 -xHost -qopenmp -o benchmark src/main.cpp src/timing.c src/mmio.cpp
Jacobi BENCHMARK
 no: of threads 72
Iter 0: Residual = 1212.52
Iter 1: Residual = 1161.55
Iter 2: Residual = 1113.4
Iter 3: Residual = 1067.59
Iter 4: Residual = 1023.93
Iter 5: Residual = 982.265
Iter 6: Residual = 942.462
Iter 7: Residual = 904.415
Iter 8: Residual = 868.023
Iter 9: Residual = 833.197
Iter 10: Residual = 799.856
Iter 11: Residual = 767.925
Iter 12: Residual = 737.334
Iter 13: Residual = 708.02
Iter 14: Residual = 679.922
Iter 15: Residual = 652.984
Iter 16: Residual = 627.152
Iter 17: Residual = 602.379
Iter 18: Residual = 578.615
Iter 19: Residual = 555.818
Iter 20: Residual = 533.944
Iter 21: Residual = 512.955
Iter 22: Residual = 492.811
Iter 23: Residual = 473.478
Iter 24: Residual = 454.92
Iter 25: Residual = 437.105
Iter 26: Residual = 420.002
Iter 27: Residual = 403.582
Iter 28: Residual = 387.815
Iter 29: Residual = 372.675
Iter 30: Residual = 358.137
Iter 31: Residual = 344.175
Iter 32: Residual = 330.766
Iter 33: Residual = 317.887
Iter 34: Residual = 305.516
Iter 35: Residual = 293.634
Iter 36: Residual = 282.22
Iter 37: Residual = 271.256
Iter 38: Residual = 260.723
Iter 39: Residual = 250.603
Iter 40: Residual = 240.882
Iter 41: Residual = 231.541
Iter 42: Residual = 222.567
Iter 43: Residual = 213.944
Iter 44: Residual = 205.658
Iter 45: Residual = 197.697
Iter 46: Residual = 190.047
Iter 47: Residual = 182.695
Iter 48: Residual = 175.631
Iter 49: Residual = 168.842
Iter 50: Residual = 162.318
Iter 51: Residual = 156.048
Iter 52: Residual = 150.022
Iter 53: Residual = 144.23
Iter 54: Residual = 138.664
Iter 55: Residual = 133.315
Iter 56: Residual = 128.173
Iter 57: Residual = 123.231
Iter 58: Residual = 118.481
Iter 59: Residual = 113.915
Iter 60: Residual = 109.526
Iter 61: Residual = 105.308
Iter 62: Residual = 101.253
Iter 63: Residual = 97.3551
Iter 64: Residual = 93.6081
Iter 65: Residual = 90.0063
Iter 66: Residual = 86.5438
