rm -f benchmark
icpx -std=c++20 -O3 -xHost -qopenmp -o benchmark src/main.cpp src/timing.c src/mmio.cpp
Jacobi BENCHMARK
Benchmarking across 1 Node
 no: of threads 72
Iter 0: Residual = 104.678
Iter 1: Residual = 101.58
Iter 2: Residual = 98.862
Iter 3: Residual = 96.3707
Iter 4: Residual = 94.0581
Iter 5: Residual = 91.8944
Iter 6: Residual = 89.8578
Iter 7: Residual = 87.9309
Iter 8: Residual = 86.1
Iter 9: Residual = 84.3542
Iter 10: Residual = 82.6842
Iter 11: Residual = 81.0823
Iter 12: Residual = 79.5422
Iter 13: Residual = 78.0583
Iter 14: Residual = 76.6259
Iter 15: Residual = 75.2408
Iter 16: Residual = 73.8996
Iter 17: Residual = 72.599
Iter 18: Residual = 71.3363
Iter 19: Residual = 70.109
Iter 20: Residual = 68.9148
Iter 21: Residual = 67.7518
Iter 22: Residual = 66.6183
Iter 23: Residual = 65.5124
Iter 24: Residual = 64.433
Iter 25: Residual = 63.3784
Iter 26: Residual = 62.3476
Iter 27: Residual = 61.3395
Iter 28: Residual = 60.353
Iter 29: Residual = 59.3872
Iter 30: Residual = 58.4412
Iter 31: Residual = 57.5142
Iter 32: Residual = 56.6055
Iter 33: Residual = 55.7144
Iter 34: Residual = 54.8402
Iter 35: Residual = 53.9825
Iter 36: Residual = 53.1406
Iter 37: Residual = 52.314
Iter 38: Residual = 51.5023
Iter 39: Residual = 50.7049
Iter 40: Residual = 49.9216
Iter 41: Residual = 49.1518
Iter 42: Residual = 48.3953
Iter 43: Residual = 47.6516
Iter 44: Residual = 46.9205
Iter 45: Residual = 46.2016
Iter 46: Residual = 45.4947
Iter 47: Residual = 44.7993
Iter 48: Residual = 44.1154
Iter 49: Residual = 43.4426
Iter 50: Residual = 42.7806
Iter 51: Residual = 42.1294
Iter 52: Residual = 41.4885
Iter 53: Residual = 40.8578
Iter 54: Residual = 40.2372
Iter 55: Residual = 39.6264
Iter 56: Residual = 39.0252
Iter 57: Residual = 38.4334
Iter 58: Residual = 37.8509
Iter 59: Residual = 37.2774
Iter 60: Residual = 36.7129
Iter 61: Residual = 36.1572
Iter 62: Residual = 35.61
Iter 63: Residual = 35.0714
Iter 64: Residual = 34.541
Iter 65: Residual = 34.0188
Iter 66: Residual = 33.5046
Iter 67: Residual = 32.9983
Iter 68: Residual = 32.4998
Iter 69: Residual = 32.0088
Iter 70: Residual = 31.5254
Iter 71: Residual = 31.0494
Iter 72: Residual = 30.5807
Iter 73: Residual = 30.119
Iter 74: Residual = 29.6645
Iter 75: Residual = 29.2168
Iter 76: Residual = 28.7759
Iter 77: Residual = 28.3417
Iter 78: Residual = 27.9142
Iter 79: Residual = 27.4931
Iter 80: Residual = 27.0784
Iter 81: Residual = 26.67
Iter 82: Residual = 26.2677
Iter 83: Residual = 25.8716
Iter 84: Residual = 25.4814
Iter 85: Residual = 25.0972
Iter 86: Residual = 24.7188
Iter 87: Residual = 24.3461
Iter 88: Residual = 23.979
Iter 89: Residual = 23.6175
Iter 90: Residual = 23.2614
Iter 91: Residual = 22.9108
Iter 92: Residual = 22.5654
Iter 93: Residual = 22.2252
Iter 94: Residual = 21.8902
Iter 95: Residual = 21.5602
Iter 96: Residual = 21.2352
Iter 97: Residual = 20.9152
Iter 98: Residual = 20.5999
Iter 99: Residual = 20.2894
Iter 100: Residual = 19.9836
Iter 101: Residual = 19.6824
Iter 102: Residual = 19.3857
Iter 103: Residual = 19.0936
Iter 104: Residual = 18.8058
Iter 105: Residual = 18.5224
Iter 106: Residual = 18.2432
Iter 107: Residual = 17.9683
Iter 108: Residual = 17.6975
Iter 109: Residual = 17.4307
Iter 110: Residual = 17.168
Iter 111: Residual = 16.9093
Iter 112: Residual = 16.6545
Iter 113: Residual = 16.4035
Iter 114: Residual = 16.1563
Iter 115: Residual = 15.9128
Iter 116: Residual = 15.673
Iter 117: Residual = 15.4368
Iter 118: Residual = 15.2042
Iter 119: Residual = 14.975
Iter 120: Residual = 14.7493
