SPMV BENCHMARK
Benchmarking across 1 Node
matrix:garon2
threads,time,performance
1,0.242014,0.806992
2,0.124132,1.57336
3,0.0829514,2.35443
4,0.0675342,2.89192
5,0.0598269,3.26448
6,0.0532723,3.66613
7,0.0500811,3.89974
8,0.0475583,4.10661
9,0.045114,4.32911
10,0.0402685,4.85003
11,0.0369134,5.29086
12,0.0332887,5.86696
13,0.0313574,6.22831
14,0.0286304,6.82154
15,0.0271631,7.19002
16,0.0250654,7.79176
17,0.0241796,8.07721
18,0.0227948,8.5679
19,0.0232645,8.39492
20,0.0208525,9.36595
21,0.0199985,9.76592
22,0.0194313,10.051
23,0.0198635,9.83227
24,0.0179644,10.8717
25,0.0171389,11.3953
26,0.0164843,11.8478
27,0.0159483,12.246
28,0.0154539,12.6378
29,0.0153089,12.7575
30,0.0144855,13.4827
31,0.0140989,13.8524
32,0.013985,13.9652
33,0.0136577,14.2999
34,0.0130448,14.9717
35,0.0128021,15.2556
36,0.012532,15.5844
37,0.0128776,15.1661
38,0.0125001,15.6241
39,0.0123286,15.8415
40,0.013907,14.0435
41,0.0120024,16.272
42,0.0118219,16.5205
43,0.0116853,16.7135
44,0.0116094,16.8228
45,0.0111217,17.5606
46,0.0113308,17.2365
47,0.0111248,17.5557
48,0.0104297,18.7256
49,0.0106552,18.3293
50,0.0104572,18.6765
51,0.0101715,19.2011
52,0.0110815,17.6243
53,0.0110915,17.6084
54,0.0100534,19.4266
55,0.010055,19.4234
56,0.0104663,18.6603
57,0.00967338,20.1898
58,0.00973062,20.071
59,0.00905844,21.5604
60,0.0100449,19.443
61,0.00955053,20.4495
62,0.0102677,19.0212
63,0.0119268,16.3752
64,0.00932463,20.9449
65,0.0095528,20.4446
66,0.0106966,18.2584
67,0.0110798,17.627
68,0.00950094,20.5562
69,0.0103424,18.8838
70,0.011924,16.379
71,0.0126548,15.4332
72,0.0125663,15.5418
