SPMV BENCHMARK
Benchmarking across 1 Node
matrix:kkt_power
threads,time,performance
1,14.2917,0.511229
2,8.51329,0.858227
3,6.01548,1.21459
4,4.57711,1.59627
5,3.76051,1.94291
6,3.28042,2.22725
7,2.86952,2.54618
8,2.69108,2.71502
9,2.47633,2.95047
10,2.34406,3.11695
11,2.20619,3.31174
12,2.11761,3.45028
13,2.02576,3.60672
14,1.92899,3.78764
15,1.84108,3.96849
16,1.83562,3.98031
17,1.81299,4.02998
18,1.74494,4.18715
19,1.74372,4.19007
20,1.72874,4.22639
21,1.79663,4.06668
22,1.69858,4.30143
23,1.69242,4.3171
24,1.67554,4.36059
25,1.73928,4.20078
26,1.71421,4.26222
27,1.65135,4.42447
28,1.63345,4.47293
29,1.42213,5.13759
30,1.63482,4.4692
31,1.60575,4.5501
32,1.61149,4.5339
33,1.62501,4.49619
34,1.60624,4.54873
35,1.61532,4.52314
36,1.6273,4.48986
37,1.61127,4.53452
38,1.58084,4.62181
39,1.56149,4.67908
40,1.56568,4.66656
41,1.53413,4.76251
42,1.46078,5.00165
43,1.54436,4.73097
44,1.50366,4.85902
45,1.49159,4.89835
46,1.47948,4.93844
47,1.48549,4.91848
48,1.46441,4.98927
49,1.49692,4.88091
50,1.4669,4.98078
51,1.44691,5.0496
52,1.42879,5.11363
53,1.37763,5.30355
54,1.38066,5.29192
55,1.37043,5.33141
56,1.34818,5.4194
57,1.31746,5.54578
58,1.30005,5.62005
59,1.28957,5.66572
60,1.29013,5.66326
61,1.25802,5.80779
62,1.27212,5.74341
63,1.22038,5.98692
64,1.27411,5.73444
65,1.21286,6.02407
66,1.24334,5.87639
67,1.19729,6.10241
68,1.20907,6.04291
69,1.21308,6.02295
70,1.20984,6.03907
71,1.18926,6.14359
72,1.18906,6.1446
