SPMV BENCHMARK
Benchmarking across 1 Node
matrix:af_shell3
threads,time,performance
1,1.87858,0.651874
2,0.939022,1.30412
3,0.66655,1.83722
4,0.522034,2.34582
5,0.411456,2.97625
6,0.359005,3.41108
7,0.309368,3.95838
8,0.288631,4.24277
9,0.26836,4.56327
10,0.240187,5.09851
11,0.221374,5.53179
12,0.206341,5.93481
13,0.186331,6.57216
14,0.175698,6.9699
15,0.168336,7.27474
16,0.150956,8.11226
17,0.143455,8.53647
18,0.139873,8.75506
19,0.126357,9.6916
20,0.124363,9.84692
21,0.119231,10.2708
22,0.109006,11.2343
23,0.108701,11.2657
24,0.103522,11.8294
25,0.0960978,12.7432
26,0.0966291,12.6732
27,0.0923266,13.2638
28,0.0874939,13.9964
29,0.0866636,14.1305
30,0.0858573,14.2632
31,0.0800502,15.2979
32,0.0803812,15.2349
33,0.0788343,15.5338
34,0.0721758,16.9669
35,0.072481,16.8954
36,0.0727208,16.8397
37,0.0670961,18.2514
38,0.0654594,18.7077
39,0.0660768,18.5329
40,0.0612072,20.0074
41,0.0643084,19.0426
42,0.0611187,20.0364
43,0.0611311,20.0323
44,0.0617225,19.8404
45,0.0616794,19.8542
46,0.0562415,21.7739
47,0.0550935,22.2276
48,0.0531815,23.0267
49,0.0514847,23.7857
50,0.0517029,23.6853
51,0.0504762,24.2609
52,0.0490581,24.9622
53,0.0481059,25.4563
54,0.0465938,26.2824
55,0.0457668,26.7573
56,0.046699,26.2232
57,0.0463497,26.4208
58,0.0468953,26.1134
59,0.0475672,25.7446
60,0.0452662,27.0533
61,0.043857,27.9225
62,0.0429083,28.5398
63,0.0407525,30.0496
64,0.042019,29.1439
65,0.041564,29.4629
66,0.0390343,31.3724
67,0.0398982,30.6931
68,0.0397328,30.8208
69,0.0377776,32.4159
70,0.0382667,32.0017
71,0.0383839,31.9039
72,0.0393978,31.0829
