Matrix,Threads,Time(s),Performance(GFlops/s),Iterations
garon2,1,0.156908,0.637285,128
garon2,2,0.158105,1.26492,256
garon2,3,0.108301,1.84663,256
garon2,4,0.175863,2.2744,512
garon2,5,0.151331,2.64309,512
garon2,6,0.134924,2.9645,512
garon2,7,0.12395,3.22695,512
garon2,8,0.114704,3.48708,512
garon2,9,0.108761,3.67762,512
garon2,10,0.100308,3.98754,512
garon2,11,0.183352,4.363,1024
garon2,12,0.167145,4.78605,1024
garon2,13,0.150561,5.31321,1024
garon2,14,0.139107,5.75072,1024
garon2,15,0.130851,6.11355,1024
garon2,16,0.121464,6.586,1024
garon2,17,0.115945,6.89949,1024
garon2,18,0.124413,6.4299,1024
garon2,19,0.103966,7.69447,1024
garon2,20,0.198014,8.07986,2048
garon2,21,0.188959,8.46705,2048
garon2,22,0.18074,8.8521,2048
garon2,23,0.17292,9.25242,2048
garon2,24,0.16623,9.62478,2048
garon2,25,0.159549,10.0278,2048
garon2,26,0.153551,10.4195,2048
garon2,27,0.148166,10.7982,2048
garon2,28,0.142809,11.2033,2048
garon2,29,0.138278,11.5704,2048
garon2,30,0.138423,11.5583,2048
garon2,31,0.134037,11.9364,2048
garon2,32,0.130514,12.2587,2048
garon2,33,0.126724,12.6253,2048
garon2,34,0.123115,12.9954,2048
garon2,35,0.120146,13.3165,2048
garon2,36,0.116445,13.7398,2048
garon2,37,0.115725,13.8253,2048
garon2,38,0.112266,14.2512,2048
garon2,39,0.111566,14.3407,2048
garon2,40,0.130186,12.2896,2048
garon2,41,0.103247,15.4961,2048
garon2,42,0.101668,15.7368,2048
garon2,43,0.208862,15.3204,4096
garon2,44,0.192991,16.5804,4096
garon2,45,0.189022,16.9284,4096
garon2,46,0.186436,17.1633,4096
garon2,47,0.182101,17.5719,4096
garon2,48,0.179165,17.8598,4096
garon2,49,0.176583,18.1209,4096
garon2,50,0.172243,18.5776,4096
garon2,51,0.169313,18.899,4096
garon2,52,0.168179,19.0264,4096
garon2,53,0.16405,19.5054,4096
garon2,54,0.160355,19.9548,4096
garon2,55,0.162101,19.7399,4096
garon2,56,0.158035,20.2478,4096
garon2,57,0.16919,18.9128,4096
garon2,58,0.172956,18.5009,4096
garon2,59,0.165762,19.3038,4096
garon2,60,0.151574,21.1108,4096
garon2,61,0.150143,21.312,4096
garon2,62,0.148501,21.5476,4096
garon2,63,0.147583,21.6817,4096
garon2,64,0.144556,22.1358,4096
garon2,65,0.141748,22.5742,4096
garon2,66,0.152865,20.9326,4096
garon2,67,0.145711,21.9603,4096
garon2,68,0.154388,20.726,4096
garon2,69,0.145771,21.9512,4096
garon2,70,0.141345,22.6386,4096
garon2,71,0.131245,24.3807,4096
garon2,72,0.146394,21.8579,4096
nv1,1,0.126239,0.62084,16
nv1,2,0.135513,1.15671,32
nv1,3,0.18989,1.65094,64
nv1,4,0.150074,2.08895,64
nv1,5,0.118145,2.6535,64
nv1,6,0.104164,3.00965,64
nv1,7,0.179771,3.48773,128
nv1,8,0.17256,3.63349,128
nv1,9,0.160739,3.90069,128
nv1,10,0.147809,4.24192,128
nv1,11,0.133747,4.68791,128
nv1,12,0.122438,5.12092,128
nv1,13,0.11021,5.68908,128
nv1,14,0.106009,5.91454,128
nv1,15,0.100404,6.24468,128
nv1,16,0.184856,6.78359,256
nv1,17,0.16927,7.40819,256
nv1,18,0.161031,7.78724,256
nv1,19,0.151329,8.2865,256
nv1,20,0.144066,8.70426,256
nv1,21,0.138223,9.07223,256
nv1,22,0.131542,9.53298,256
nv1,23,0.12566,9.9792,256
nv1,24,0.121204,10.3461,256
nv1,25,0.114953,10.9087,256
nv1,26,0.110693,11.3285,256
nv1,27,0.108688,11.5375,256
nv1,28,0.104035,12.0536,256
nv1,29,0.102915,12.1847,256
nv1,30,0.10302,12.1723,256
nv1,31,0.192864,13.0039,512
nv1,32,0.187804,13.3542,512
nv1,33,0.178755,14.0302,512
nv1,34,0.174989,14.3322,512
nv1,35,0.176289,14.2265,512
nv1,36,0.169012,14.8391,512
nv1,37,0.155819,16.0955,512
nv1,38,0.154241,16.2601,512
nv1,39,0.1524,16.4566,512
nv1,40,0.144247,17.3866,512
nv1,41,0.143706,17.4521,512
nv1,42,0.141905,17.6737,512
nv1,43,0.14188,17.6768,512
nv1,44,0.142314,17.6228,512
nv1,45,0.138158,18.153,512
nv1,46,0.130657,19.1952,512
nv1,47,0.127623,19.6515,512
nv1,48,0.125912,19.9185,512
nv1,49,0.121371,20.6637,512
nv1,50,0.125226,20.0276,512
nv1,51,0.122932,20.4012,512
nv1,52,0.118631,21.141,512
nv1,53,0.115313,21.7493,512
nv1,54,0.116366,21.5524,512
nv1,55,0.112683,22.2569,512
nv1,56,0.11368,22.0618,512
nv1,57,0.109074,22.9934,512
nv1,58,0.110292,22.7395,512
nv1,59,0.111942,22.4043,512
nv1,60,0.107089,23.4195,512
nv1,61,0.101963,24.5969,512
nv1,62,0.100667,24.9135,512
nv1,63,0.19116,26.2396,1024
nv1,64,0.193102,25.9757,1024
nv1,65,0.195218,25.6941,1024
nv1,66,0.182238,27.5242,1024
nv1,67,0.185755,27.003,1024
nv1,68,0.185226,27.0801,1024
nv1,69,0.177097,28.3231,1024
nv1,70,0.181874,27.5793,1024
nv1,71,0.183444,27.3431,1024
nv1,72,0.187281,26.783,1024
kkt_power,1,0.366032,0.638749,8
kkt_power,2,0.239147,0.977652,8
kkt_power,3,0.163791,1.42745,8
kkt_power,4,0.12503,1.86997,8
kkt_power,5,0.100377,2.32924,8
kkt_power,6,0.173708,2.6919,16
kkt_power,7,0.153947,3.03745,16
kkt_power,8,0.142462,3.28231,16
kkt_power,9,0.129634,3.60713,16
kkt_power,10,0.122078,3.83039,16
kkt_power,11,0.115847,4.03642,16
kkt_power,12,0.108585,4.30636,16
kkt_power,13,0.103256,4.5286,16
kkt_power,14,0.188586,4.95905,32
kkt_power,15,0.186438,5.01621,32
kkt_power,16,0.183209,5.10462,32
kkt_power,17,0.178,5.25399,32
kkt_power,18,0.172411,5.42431,32
kkt_power,19,0.164231,5.69448,32
kkt_power,20,0.155142,6.0281,32
kkt_power,21,0.146774,6.37176,32
kkt_power,22,0.145542,6.42571,32
kkt_power,23,0.144005,6.49429,32
