Matrix,Threads,Time(s),Performance(GFlops/s),Iterations
garon2,1,0.156818,0.637654,128
garon2,2,0.158359,1.2629,256
garon2,3,0.105399,1.89747,256
garon2,4,0.170968,2.33951,512
garon2,5,0.146802,2.72464,512
garon2,6,0.130855,3.05669,512
garon2,7,0.119669,3.34239,512
garon2,8,0.111079,3.60088,512
garon2,9,0.104801,3.81658,512
garon2,10,0.19371,4.1297,1024
garon2,11,0.177235,4.51358,1024
garon2,12,0.161073,4.96645,1024
garon2,13,0.15075,5.30657,1024
garon2,14,0.143111,5.58981,1024
garon2,15,0.135099,5.9213,1024
garon2,16,0.125801,6.35894,1024
garon2,17,0.119405,6.69958,1024
garon2,18,0.112258,7.1261,1024
nv1,1,0.129547,0.604986,16
nv1,2,0.138911,1.12841,32
nv1,3,0.194857,1.60886,64
nv1,4,0.15034,2.08525,64
nv1,5,0.118684,2.64145,64
nv1,6,0.104017,3.0139,64
nv1,7,0.179674,3.48961,128
nv1,8,0.172959,3.6251,128
nv1,9,0.160529,3.9058,128
nv1,10,0.143696,4.36334,128
nv1,11,0.130263,4.81329,128
nv1,12,0.119395,5.25143,128
nv1,13,0.110234,5.68785,128
nv1,14,0.10326,6.07199,128
nv1,15,0.195082,6.42799,256
nv1,16,0.179667,6.9795,256
nv1,17,0.173853,7.21292,256
nv1,18,0.165443,7.57956,256
kkt_power,1,0.361612,0.646557,8
kkt_power,2,0.240358,0.972726,8
kkt_power,3,0.162312,1.44046,8
kkt_power,4,0.125698,1.86004,8
kkt_power,5,0.101123,2.31206,8
kkt_power,6,0.173574,2.69399,16
kkt_power,7,0.153931,3.03776,16
kkt_power,8,0.140176,3.33585,16
kkt_power,9,0.129535,3.60986,16
kkt_power,10,0.122079,3.83033,16
kkt_power,11,0.114462,4.08523,16
kkt_power,12,0.109445,4.27252,16
kkt_power,13,0.101287,4.61662,16
kkt_power,14,0.191694,4.87865,32
kkt_power,15,0.189503,4.93506,32
kkt_power,16,0.181014,5.16651,32
kkt_power,17,0.178526,5.23851,32
kkt_power,18,0.167919,5.5694,32
HPCG-128-128-128,1,1.46719,0.607887,8
HPCG-128-128-128,2,0.734494,1.21429,8
HPCG-128-128-128,3,0.501325,1.77906,8
HPCG-128-128-128,4,0.3705,2.40726,8
HPCG-128-128-128,5,0.294845,3.02494,8
HPCG-128-128-128,6,0.250945,3.55411,8
HPCG-128-128-128,7,0.210303,4.24096,8
HPCG-128-128-128,8,0.184009,4.84698,8
HPCG-128-128-128,9,0.167449,5.32632,8
HPCG-128-128-128,10,0.147475,6.04773,8
HPCG-128-128-128,11,0.134187,6.64658,8
HPCG-128-128-128,12,0.126127,7.07137,8
HPCG-128-128-128,13,0.114029,7.82157,8
HPCG-128-128-128,14,0.106221,8.39654,8
HPCG-128-128-128,15,0.101641,8.77489,8
HPCG-128-128-128,16,0.187523,9.51229,16
HPCG-128-128-128,17,0.177396,10.0553,16
HPCG-128-128-128,18,0.171674,10.3905,16
